#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes
1,"Mass Production","Mass Production","The Brothers' War",BRO,15,English,Normal,Uncommon,452547,6705286,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{5}{W},Sorcery,"Create four 1/1 colorless Soldier artifact creature tokens.",W,20150B58-A442-472C-8191-B44581322EEB,normal,82499,104648,"583600",683304,640A08B7-DD30-446E-A8A7-2E084BBB9586,,,,,6,W,15322,"",,,false,false,bro,https://scryfall.com/card/bro/15/mass-production?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.486-08:00,
1,"Mishra's Onslaught","Mishra's Onslaught","The Brothers' War",BRO,143,English,Normal,Common,452185,6685483,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{3}{R},Instant,"Choose one —; • Create two 1/1 colorless Soldier artifact creature tokens.; • Creatures you control get +2/+0 until end of turn.",R,3684EDB5-BBF1-4ED7-B5B7-F24B452DBD64,normal,82627,104904,"583728",682560,EDA82E38-C1D4-4019-8F79-F91602D941B0,,,,,4,R,16314,"",,,false,false,bro,https://scryfall.com/card/bro/143/mishras-onslaught?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.489-08:00,
4,"Mountain","Mountain","Core Set 2020",M20,273,English,Normal,Land,192842,4113790,0.41,2024-06-19T13:01:06.465-08:00,true,"",false,"",core,,,Basic Land — Mountain,"({T}: Add {R}.)",,A3FB7228-E76B-4E96-A40E-20B5FED75685,normal,70058,73445,"467027",379635,399F7531-E137-463B-BEC3-E86756B6ED71,,,,,0,R,,"",,R,true,false,m20,https://scryfall.com/card/m20/273/mountain?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-08-30T12:39:35.536-08:00,
1,"Obliterating Bolt","Obliterating Bolt","The Brothers' War",BRO,145,English,Normal,Uncommon,452392,6694726,0.1,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{R},Sorcery,"Obliterating Bolt deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",R,57FE941C-A830-4570-AFE2-18F93C7A7B84,normal,82629,104908,"583730",682561,7F886411-8216-4FB7-9172-A408C39043EE,,,,,2,R,11942,"",3778,,false,false,bro,https://scryfall.com/card/bro/145/obliterating-bolt?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.491-08:00,
1,"Perimeter Patrol","Perimeter Patrol","The Brothers' War",BRO,188,English,Normal,Common,453022,6712175,0.01,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{2}{G},Creature — Human Soldier,"Whenever an artifact enters the battlefield under your control, Perimeter Patrol gets +1/+0 until end of turn.",G,EF625CAF-C5D3-47F4-B1FB-BD040C5D864C,normal,82673,104994,"583772",683429,D4719BC1-4C27-45D8-89F7-8C76CCF946D2,,,3,3,3,G,25155,"",,,false,false,bro,https://scryfall.com/card/bro/188/perimeter-patrol?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.496-08:00,
1,"Phyrexian Fleshgorger","Phyrexian Fleshgorger","The Brothers' War",BRO,121,English,Normal,Mythic,451439,6667836,4,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{7},Artifact Creature — Phyrexian Wurm,"Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.); Menace, lifelink; Ward—Pay life equal to Phyrexian Fleshgorger's power.",,D3A5A830-CD14-49DA-9412-C50049C74C92,prototype,83690,104860,"583706",681770,62D37423-3445-412A-9ABD-0480DA404637,,,7,5,7,B,6649,"Lifelink, Menace, Ward, Prototype",,,false,false,bro,https://scryfall.com/card/bro/121/phyrexian-fleshgorger?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.498-08:00,
4,"Plains","Plains","Core Set 2020",M20,261,English,Normal,Land,192827,4112140,0.3,2024-06-19T13:01:06.465-08:00,true,"",false,"",core,,,Basic Land — Plains,"({T}: Add {W}.)",,BC71EBF6-2056-41F7-BE35-B2E5C34AFA99,normal,70046,73421,"467015",379599,73FB4A34-C11E-45E9-A986-43C0A0AE5424,,,,,0,W,,"",,W,true,false,m20,https://scryfall.com/card/m20/261/plains?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-08-30T12:39:35.535-08:00,
1,"Powerstone Fracture","Powerstone Fracture","The Brothers' War",BRO,112,English,Normal,Common,452141,6683958,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{B},Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.; Destroy target creature or planeswalker.",B,F13BAF38-27FC-4C5D-8FEE-459EEFDB32DA,normal,82596,104842,"583697",682556,2323301F-565A-4C0F-BFFD-18386CCD1F7A,,,,,2,B,13634,"",9995,,false,false,bro,https://scryfall.com/card/bro/112/powerstone-fracture?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.529-08:00,
1,"Prison Sentence","Prison Sentence","The Brothers' War",BRO,21,English,Normal,Common,453077,6713565,0.05,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{2}{W},Enchantment — Aura,"Enchant creature; When Prison Sentence enters the battlefield, scry 2.; Enchanted creature can't attack or block, and its activated abilities can't be activated.",W,6D9F2FE0-5657-45B4-9431-36E0F6C8EBA2,normal,82505,104660,"583606",683379,76832CA8-95B2-4BC8-A191-9E2F50B77626,,,,,3,W,12009,"Enchant, Scry",,,false,false,bro,https://scryfall.com/card/bro/21/prison-sentence?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.501-08:00,
1,"Quietus Spike","Quietus Spike","The Brothers' War: Retro Frame Artifacts",BRR,46,English,Normal,Rare,452423,6699291,0.29,2024-06-19T13:01:06.465-08:00,false,"",false,"",masterpiece,,{3},Artifact — Equipment,"Equipped creature has deathtouch.; Whenever equipped creature deals combat damage to a player, that player loses half their life, rounded up.; Equip {3}",,0FF0A309-9B4A-4F9E-9EA6-C4D07906EBEC,normal,82845,104510,"586596",682915,31C776AA-7F7E-4CD7-A188-BBE655F785D2,,,,,3,,2036,"Equip",10006,,true,false,brr,https://scryfall.com/card/brr/46/quietus-spike?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-08-30T12:39:35.503-08:00,
1,"Raze to the Ground","Raze to the Ground","The Brothers' War",BRO,149,English,Normal,Common,452187,6685643,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{2}{R},Sorcery,"This spell can't be countered.; Destroy target artifact. If its mana value was 1 or less, draw a card.",R,EFE24EED-E1E2-4807-AE61-2E5BE529AE3C,normal,82633,104916,"583734",682563,838B25D2-7615-4375-A5E6-3D762C9072A5,,,,,3,R,17097,"",8928,,false,false,bro,https://scryfall.com/card/bro/149/raze-to-the-ground?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.505-08:00,
3,"Swamp","Swamp","Core Set 2020",M20,269,English,Normal,Land,192838,4113350,0.45,2024-06-19T13:01:06.465-08:00,true,"",false,"",core,,,Basic Land — Swamp,"({T}: Add {B}.)",,56719F6A-1A6C-4C0A-8D21-18F7D7350B68,normal,70054,73437,"467023",379623,184A196E-8604-49D2-A66A-6F7C0EAFD5DE,,,,,0,B,,"",,B,true,false,m20,https://scryfall.com/card/m20/269/swamp?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-08-30T12:39:35.531-08:00,
1,"The Fall of Kroog","The Fall of Kroog","The Brothers' War",BRO,133,English,Normal,Uncommon,451951,6676897,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{4}{R}{R},Sorcery,"Choose target opponent. Destroy target land that player controls. The Fall of Kroog deals 3 damage to that player and 1 damage to each creature they control.",R,BFD8D447-7253-40D0-A153-78E9700045D7,normal,82617,104884,"583718",682013,F454583D-D227-4FC8-842E-128E025880E4,,,,,6,R,18071,"",,,false,false,bro,https://scryfall.com/card/bro/133/the-fall-of-kroog?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.507-08:00,
1,"Thopter Architect","Thopter Architect","The Brothers' War",BRO,29,English,Normal,Uncommon,452290,6690783,0,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{3}{W},Creature — Human Artificer,"Whenever an artifact enters the battlefield under your control, target creature gains flying until end of turn.",W,3194FE3D-57D3-4DAB-AB39-3778B75150FA,normal,82513,104676,"583614",682536,61017325-CEC0-46AC-AA32-5855E5904888,,,2,3,4,W,17958,"",,,false,false,bro,https://scryfall.com/card/bro/29/thopter-architect?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.508-08:00,
1,"Thraxodemon","Thraxodemon","The Brothers' War",BRO,115,English,Normal,Common,453013,6711455,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{B},Creature — Demon,"{3}, {T}, Sacrifice another creature or artifact: Draw a card.",B,01CF689C-5A64-4ECF-B45D-3F385C9B212B,normal,82599,104848,"583700",683406,FC59CA3B-D417-4CF2-99A3-89816BF2BD09,,,2,2,2,B,16136,"",,,false,false,bro,https://scryfall.com/card/bro/115/thraxodemon?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.515-08:00,
1,"Titania's Command","Titania's Command","The Brothers' War",BRO,194,English,Normal,Rare,452968,6711005,0.47,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{4}{G}{G},Sorcery,"Choose two —; • Exile target player's graveyard. You gain 1 life for each card exiled this way.; • Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle.; • Create two 2/2 green Bear creature tokens.; • Put two +1/+1 counters on each creature you control.",G,7AAE0A3D-8882-4485-A126-F06EA6593DCB,normal,82679,105008,"583777",683433,753567C7-C484-4C0D-8128-7710E23C428F,,,,,6,G,2335,"",3088,,false,false,bro,https://scryfall.com/card/bro/194/titanias-command?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.517-08:00,
1,"Unleash Shell","Unleash Shell","The Brothers' War",BRO,155,English,Normal,Common,453020,6712015,0.01,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{3}{R}{R},Instant,"Unleash Shell deals 5 damage to target creature or planeswalker and 2 damage to that permanent's controller.",R,9EACA93D-6C3D-4489-8652-B575A4CD931F,normal,82639,104928,"583740",683418,1BE13ABF-B717-4122-AB2B-7E597A251D52,,,,,5,R,18402,"",,,false,false,bro,https://scryfall.com/card/bro/155/unleash-shell?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.521-08:00,
1,"Veteran's Powerblade","Veteran's Powerblade","The Brothers' War",BRO,41,English,Normal,Common,453032,6712975,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{3},Artifact — Equipment,"Equipped creature gets +2/+0.; Equip Soldier {W}; Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,DA0B4E01-B312-4F37-A034-824CE58DB02E,normal,82525,104700,"583626",683382,64D823E1-A7D6-4296-94C8-B8BA9B4DAA38,,,,,3,W,19180,"Equip",,,false,false,bro,https://scryfall.com/card/bro/41/veterans-powerblade?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.525-08:00,
1,"Yotian Dissident","Yotian Dissident","The Brothers' War",BRO,227,English,Normal,Uncommon,451937,6675617,0.09,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{G}{W},Creature — Human Artificer,"Whenever an artifact enters the battlefield under your control, put a +1/+1 counter on target creature you control.",GW,6AD61622-A70F-423C-99E3-B1EF6EAD0B31,normal,82712,105078,"583808",682025,1EB02F00-C188-4193-A049-D26F7643E5DA,,,1,1,2,GW,8933,"",6657,,false,false,bro,https://scryfall.com/card/bro/227/yotian-dissident?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.527-08:00,
